long,lat,no
134.44374,-15.262870000000001,2
151.2151,-33.9515,2
130.25226999999998,-15.8005,2
144.3579,-16.1508,2
126.39612,-27.05207,2
144.39281,-16.03652,2
132.37326000000002,-14.37171,2
149.8472,-28.55616,2
130.76691,-13.11844,2
149.63951,-31.395690000000002,2
142.11956999999998,-12.83566,2
136.42998,-16.40018,2
142.78718999999998,-17.01898,2
144.36041,-16.05396,2
141.44986,-34.54773,2
125.30765,-17.174879999999998,2
144.2506,-16.048,2
143.03,-13.0293,2
142.5243,-12.0019,2
150.606,-22.7173,2
135.49428999999998,-12.30044,2
141.44501,-34.54959,2
141.44554,-34.608470000000004,2
136.47578000000001,-16.38441,2
130.29143,-15.75,2
142.5941,-12.6579,2
141.94742,-12.53807,2
134.51108,-12.53157,2
142.91367,-13.143970000000001,2
134.39888,-15.28667,2
125.31786000000001,-17.19727,2
132.93171999999998,-14.53715,2
142.0759,-12.3188,2
134.56841,-12.27609,2
142.60623,-12.70225,2
126.6518,-14.466220000000002,2
133.15227,-15.33373,2
143.1636,-14.0308,2
130.76901,-13.120220000000002,2
132.36041,-14.36575,2
132.36473,-14.373579999999999,2
142.79693999999998,-16.980829999999997,2
142.96116999999998,-12.8096,2
126.41443000000001,-27.01388,2
134.21747,-12.05901,2
150.46701000000002,-28.12906,2
147.213,-32.6986,2
142.05205,-12.53301,2
130.32527,-15.771360000000001,2
125.3087,-17.17815,2
136.43466,-16.38393,2
119.17228,-21.67055,2
143.86331,-14.53814,2
125.2983,-17.1787,2
132.13705,-11.36961,2
134.94427,-12.24963,2
135.47287,-12.30374,2
132.493,-12.7159,2
125.32175,-17.15108,2
147.54997,-26.45223,2
147.65555,-23.32699,2
130.2859,-11.7265,2
130.95297,-13.3704,2
126.66434,-14.5064,2
144.40153999999998,-15.98766,2
134.94087,-12.25183,2
147.6449,-31.173209999999997,2
132.36626,-14.370970000000002,2
133.19403,-15.467929999999999,2
131.84283,-11.23965,2
134.4989,-12.52319,2
142.0525,-12.3081,2
150.87993,-34.46102,2
134.94073,-12.250169999999999,2
132.05028000000001,-12.77955,2
142.41048,-10.92601,2
150.1991,-22.5989,2
152.00778,-24.55861,2
142.07023999999998,-15.593520000000002,2
134.83643999999998,-14.50165,2
149.71743999999998,-23.0599,2
142.196,-10.6839,2
130.76752,-13.12226,2
126.69115,-14.44864,2
142.12779,-12.83347,2
125.33091999999999,-17.16175,2
142.77014,-17.04472,2
136.40558000000001,-16.38843,2
132.85542,-14.25879,2
119.31591999999999,-34.38221,2
144.3361,-16.1173,2
144.38968,-16.0326,2
126.41389,-27.015859999999996,2
128.1657,-17.0676,2
135.50304,-12.30935,2
150.80475,-29.36475,2
142.76584,-12.85237,2
150.19598,-22.57966,2
135.48198,-12.29208,2
144.40051,-16.01949,2
132.06476999999998,-12.82112,2
130.95712,-13.365960000000001,2
131.58363,-12.81995,2
132.9422,-14.5359,2
130.327,-15.7632,2
132.91043,-14.5404,2
152.1208,-31.676379999999998,2
133.15498,-15.3436,2
142.52031000000002,-12.013739999999999,2
150.79124,-28.59484,2
142.52757,-11.99859,2
142.9131,-13.1475,2
148.91725,-22.463810000000002,2
134.41714,-15.283970000000002,2
126.47079,-27.054809999999996,2
148.9025,-22.4769,2
133.1911,-15.45321,2
125.3002,-17.18192,2
146.9762,-32.346,2
141.838,-12.8653,2
142.44495,-10.75662,2
133.1875,-15.3848,2
148.0585,-27.3016,2
147.4379,-29.83976,2
114.99626,-21.69724,2
130.2934,-11.7391,2
148.1559,-28.78711,2
126.39067,-27.05568,2
142.76674,-12.8572,2
132.88286000000002,-12.46214,3
141.87013000000002,-12.37139,3
131.094,-13.3621,3
141.85405,-12.39541,3
143.17754,-14.023670000000001,3
142.04433,-12.8193,3
130.28833,-11.721110000000001,3
