GrLivArea,SalePrice
25.43333333,17
11.175,17
28.675,17
24.925,17
16.725,17
30.23333333,17
20.725,16
17.925,16
14.95,16
19.325,16
20.075,16
20.5,16
30.9,16
14.26666667,16
20.35,16
17.05,15
17.85,15
22.075,15
23.9,15
12.975,15
18.275,15
14.36666667,15
14.43333333,15
18.35,14
17.1,14
20.525,14
35.9,14
13.175,14
21.1,13
28.8,13
15.06666667,13
23.83333333,13
15.33333333,13
15.66666667,13
15.475,13
19.26666667,13
13.925,12
9.75,12
11.45,12
33.55,12
18.8,12
19.5,12
18.85,12
31.8,11
36.26666667,11
20.2,11
27.025,11
18.425,11
21.2,10
26.65,10
31.9,10
10.05,10
13.3,10
18.05,9
13.76666667,9
14.875,9
16.36666667,9
19.9,9
22.2,9
18.975,9
26.175,9
20.125,9
21.175,8
24.9,8
21.3,8
18.96666667,8
36.26666667,8
23.2,8
14.76666667,8
25.3,8
23.25,8
17.76666667,8
10.8,8
17.825,8
14.225,8
17.13333333,7
14.13333333,7
22.3,7
21.05,7
17.6,7
13.9,7
16.63333333,7
15.3,7
23.03333333,7
24.075,7
14.3,7
14.53333333,7
31.15,7
35.83333333,7
17.95,6
16.125,6
17.425,6
22.675,6
15.56666667,6
18.43333333,6
31.9,6
18.2,6
18.86666667,6
14.6,6
18.55,6
17.725,5
14.85,5
12.8,5
12.26666667,5
24.775,5
27.775,5
24.95,5
15.575,5
16.95,5
13.675,5
31.075,5
16.1,5
16.4,5
36.33333333,5
11.8,5
11.525,4
14.8,4
14.45,4
13.575,4
15.525,4
12.13333333,4
16.7,4
16.23333333,4
23.3,4
12.85,4
14.85,4
9.875,4
10.96666667,4
16.6,4
36.55,4
16.3,3
16.55,3
18.3,3
18.675,3
30.05,3
21.45,3
17.6,3
14.1,3
32.75,3
14.7,3
17.4,3
16.76666667,3
15.8,3
15.55,3
26.6,3
40.725,3
12.65,3
18.875,2
21.625,2
13.725,2
32.05,2
35.7,2
22.95,2
14.3,2
18.96666667,2
18.45,2
30.95,2
13.95,2
28.55,2
15.4,2
33.2,2
13.33333333,2
26.05,2
20.25,2
21.6,2
13.53333333,2
18.9,2
19.1,2
23.075,2
14.7,2
12.46666667,2
10.3,1
14.83333333,1
27.5,1
27.25,1
19.96666667,1
16.03333333,1
15.65,1
15.93333333,1
13.85,1
21.55,1
14.4,1
16,1
12.06666667,1
16.7,1
24.15,1
18.45,1
25.85,1
